Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,26.333332,26.453333,26.006666,26.186666,24.996271,1038900
2018-05-02,26.113333,26.266666,26.026667,26.053333,24.868996,921750
2018-05-03,26.013332,26.360001,25.920000,26.313334,25.117184,1117200
2018-05-04,26.186666,26.600000,26.113333,26.533333,25.327181,847200
2018-05-07,26.526667,26.600000,26.480000,26.533333,25.327181,762300
2018-05-08,26.506666,26.580000,26.213333,26.420000,25.219002,1571700
2018-05-09,26.546667,26.620001,26.306667,26.573334,25.365366,1279200
2018-05-10,26.666668,27.466667,26.600000,27.073334,25.842634,1380300
2018-05-11,27.086666,27.206667,26.953333,27.046667,25.817179,952800
2018-05-14,27.186666,27.393333,27.186666,27.233334,25.995358,988500
2018-05-15,27.040001,27.373333,26.820000,27.180000,25.944450,1775100
2018-05-16,27.160000,27.260000,26.766666,26.986668,25.759907,1113300
2018-05-17,27.040001,27.066668,26.786667,26.879999,25.658089,907650
2018-05-18,26.799999,26.986668,26.746668,26.913334,25.689909,1037700
2018-05-21,27.026667,27.100000,26.940001,27.086666,25.855362,569550
2018-05-22,27.106667,27.366667,27.000000,27.073334,25.842634,633150
2018-05-23,26.946667,27.299999,26.833332,27.200001,25.963545,1598400
2018-05-24,27.126667,27.240000,26.786667,26.966667,25.740818,767550
2018-05-25,26.813334,27.153334,26.740000,26.933332,25.708996,831150
2018-05-29,26.700001,26.846666,26.373333,26.493334,25.289001,1116300
2018-05-30,26.526667,26.946667,26.433332,26.946667,25.819181,902100
2018-05-31,26.879999,26.879999,26.340000,26.559999,25.448692,1823100
2018-06-01,26.713333,26.826668,26.606667,26.700001,25.582836,495450
2018-06-04,26.840000,27.013332,26.773333,26.986668,25.857508,543900
2018-06-05,26.886667,27.066668,26.853333,27.020000,25.889448,712800
2018-06-06,27.213333,27.233334,26.973333,27.173332,26.036364,933450
2018-06-07,27.200001,27.306667,27.006666,27.059999,25.927773,627450
2018-06-08,27.000000,27.533333,27.000000,27.513332,26.362139,794550
2018-06-11,27.513332,27.746668,27.513332,27.626667,26.470730,896550
2018-06-12,27.613333,27.673332,27.340000,27.660000,26.502668,853500
2018-06-13,27.666668,27.886667,27.666668,27.746668,26.585707,870900
2018-06-14,27.806667,28.246668,27.746668,28.020000,26.847607,1576050
2018-06-15,27.973333,28.166668,27.626667,27.666668,26.509058,1431600
2018-06-18,27.553333,28.799999,27.506666,27.639999,26.483503,1542000
2018-06-19,27.426666,27.453333,27.200001,27.280001,26.138567,883650
2018-06-20,27.340000,27.833332,27.340000,27.600000,26.445177,1380600
2018-06-21,27.606667,27.646667,27.326668,27.453333,26.304646,805950
2018-06-22,27.559999,27.600000,27.446667,27.466667,26.317427,858150
