Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,7.680000,7.720000,7.288000,7.536000,7.536000,73863
2018-05-02,7.440000,8.240000,7.200000,8.080000,8.080000,138438
2018-05-03,8.000000,8.080000,7.520000,7.600000,7.600000,69900
2018-05-04,7.680000,7.840000,7.520000,7.648000,7.648000,23350
2018-05-07,7.760000,7.896000,7.520000,7.832000,7.832000,27463
2018-05-08,7.840000,7.888000,7.312000,7.392000,7.392000,60200
2018-05-09,7.424000,7.576000,7.280000,7.488000,7.488000,39888
2018-05-10,7.280000,7.512000,7.200000,7.312000,7.312000,35713
2018-05-11,7.200000,7.520000,7.200000,7.328000,7.328000,38438
2018-05-14,7.360000,7.920000,7.360000,7.776000,7.776000,76038
2018-05-15,7.776000,8.152000,7.384000,7.568000,7.568000,147613
2018-05-16,7.440000,7.720000,7.264000,7.376000,7.376000,130188
2018-05-17,7.520000,7.840000,7.320000,7.672000,7.672000,43188
2018-05-18,7.800000,8.000000,7.680000,7.832000,7.832000,77125
2018-05-21,8.000000,8.000000,7.360000,7.520000,7.520000,51275
2018-05-22,7.360000,8.080000,7.040000,7.784000,7.784000,89488
2018-05-23,7.840000,7.840000,7.360000,7.480000,7.480000,33938
2018-05-24,7.400000,7.520000,7.280000,7.488000,7.488000,36150
2018-05-25,7.520000,7.680000,7.424000,7.464000,7.464000,16050
2018-05-29,7.384000,7.496000,7.048000,7.360000,7.360000,65163
2018-05-30,7.600000,7.752000,7.280000,7.344000,7.344000,20875
2018-05-31,7.280000,7.600000,7.280000,7.440000,7.440000,38175
2018-06-01,7.560000,7.760000,7.360000,7.544000,7.544000,54938
2018-06-04,7.680000,7.696000,7.440000,7.448000,7.448000,34900
2018-06-05,7.440000,7.816000,7.440000,7.752000,7.752000,99400
2018-06-06,7.792000,7.920000,7.440000,7.616000,7.616000,56375
2018-06-07,7.600000,7.760000,7.392000,7.464000,7.464000,58575
2018-06-08,7.440000,7.504000,7.200000,7.296000,7.296000,48063
2018-06-11,7.240000,7.552000,7.232000,7.520000,7.520000,63513
