Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,15.980000,16.080000,15.640000,16.080000,14.509760,68700
2018-05-02,16.010000,16.629999,16.000000,16.340000,14.744371,84300
2018-05-03,16.389999,16.730000,16.280001,16.709999,15.078238,79800
2018-05-04,16.750000,17.000000,16.500000,16.549999,14.933861,99000
2018-05-07,16.620001,17.240000,16.580000,17.059999,15.394061,144200
2018-05-08,17.100000,17.379999,17.100000,17.270000,15.583553,165800
2018-05-09,17.450001,18.980000,17.450001,17.820000,16.079844,349400
2018-05-10,17.980000,18.110001,17.280001,17.440001,15.736952,146700
2018-05-11,17.480000,18.139999,17.291000,18.020000,16.260309,192700
2018-05-14,18.080000,18.249001,17.809999,17.920000,16.170078,118500
2018-05-15,17.860001,18.030001,17.450001,17.870001,16.124964,278200
2018-05-16,17.820000,17.820000,17.459999,17.600000,15.881328,146700
2018-05-17,17.620001,17.930000,17.561001,17.730000,15.998630,229000
2018-05-18,17.750000,17.850000,17.510000,17.709999,15.980585,120800
2018-05-21,17.830000,18.150000,17.639999,17.780001,16.043753,538400
2018-05-22,17.809999,18.871000,17.691000,18.750000,16.919027,768900
2018-05-23,18.670000,18.889999,18.420000,18.469999,16.666367,310000
2018-05-24,18.459999,19.599001,18.360001,19.120001,17.252899,497800
2018-05-25,19.000000,19.059999,18.209999,18.240000,16.458832,151700
2018-05-29,18.139999,18.139999,17.080000,17.459999,15.754997,286200
2018-05-30,17.540001,18.670000,17.540001,18.600000,16.783676,362700
2018-05-31,18.540001,18.730000,18.250000,18.330000,16.540045,182300
2018-06-01,18.420000,18.920000,18.370001,18.770000,16.937077,139800
2018-06-04,18.809999,19.160000,18.809999,19.030001,17.171686,126400
2018-06-05,19.030001,19.040001,18.750000,18.990000,17.135592,149900
2018-06-06,19.059999,19.490000,18.570000,18.690001,16.864887,167200
2018-06-07,18.709999,20.065001,18.709999,19.709999,17.785282,364700
2018-06-08,19.820000,19.940001,19.500000,19.770000,17.839420,189700
2018-06-11,19.770000,19.860001,19.299999,19.570000,17.658953,113200
2018-06-12,19.500000,19.520000,18.836000,18.910000,17.063402,235400
